epoch,accuracy,loss,val_accuracy,val_loss
15,0.5797173976898193,0.4319536089897156,0.5201475620269775,0.3418346047401428
16,0.4447084367275238,0.4454450011253357,0.3581157922744751,0.549680233001709
17,0.4487099349498749,0.3985399007797241,0.37982407212257385,0.37496668100357056
18,0.4797215759754181,0.3596428334712982,0.35343360900878906,0.4418836832046509
19,0.5087324380874634,0.33400270342826843,0.4307605028152466,0.38535141944885254
20,0.5411195755004883,0.3061768114566803,0.6129398345947266,0.24386373162269592
21,0.5444541573524475,0.2990981340408325,0.535187304019928,0.2971835434436798
22,0.567212700843811,0.27687209844589233,0.5651248693466187,0.2509559392929077
23,0.5870118141174316,0.26586711406707764,0.21069806814193726,0.6533024311065674
24,0.593180775642395,0.25929853320121765,0.43061861395835876,0.36884769797325134
