epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.6522029042243958,9.999999747378752e-06,1.451761245727539,0.8513609170913696,0.6916855573654175,0.9480502009391785,0.8654937744140625
1,0.6559543013572693,9.999999747378752e-06,1.362250566482544,0.8527781367301941,0.6929625272750854,0.9444199204444885,0.8683314323425293
2,0.6531615853309631,9.999999747378752e-06,1.3123116493225098,0.8536534309387207,0.6950908303260803,0.93986576795578,0.8713110089302063
3,0.6596640348434448,9.999999747378752e-06,1.2595369815826416,0.8588220477104187,0.6976447105407715,0.9335382580757141,0.8721623420715332
4,0.6582885384559631,9.999999747378752e-06,1.2440810203552246,0.8576966524124146,0.695800244808197,0.9307771325111389,0.8744324445724487
5,0.6557875871658325,9.999999747378752e-06,1.2254306077957153,0.8576549291610718,0.6952326893806458,0.9289485216140747,0.8759931921958923
6,0.655579149723053,9.999999747378752e-06,1.2046191692352295,0.8581967949867249,0.6979284882545471,0.9215517640113831,0.8791146278381348
7,0.6567462682723999,9.999999747378752e-06,1.1780568361282349,0.8559042811393738,0.7027525305747986,0.9146949052810669,0.8812429308891296
8,0.6638322472572327,9.999999747378752e-06,1.1647250652313232,0.860864520072937,0.7006242871284485,0.9137829542160034,0.8799659609794617
9,0.6631236672401428,9.999999747378752e-06,1.1336920261383057,0.8610312342643738,0.7007661461830139,0.9108313322067261,0.8813847899436951
10,0.6662081480026245,9.999999747378752e-06,1.1115424633026123,0.8631153106689453,0.7013337016105652,0.9041076898574829,0.8813847899436951
11,0.667667031288147,9.999999747378752e-06,1.1189833879470825,0.8614480495452881,0.7019012570381165,0.9018107056617737,0.8840805888175964
