epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.46058937907218933,0.0003000000142492354,1.7314791679382324,0.6523279547691345,0.6098183989524841,1.2151769399642944,0.8127128481864929
1,0.5574173927307129,0.0003000000142492354,1.3457685708999634,0.7654536962509155,0.6305334568023682,1.1409634351730347,0.8269012570381165
2,0.5803843140602112,0.0003000000142492354,1.2556630373001099,0.7892959713935852,0.6376277208328247,1.1125733852386475,0.8293132781982422
3,0.5920136570930481,0.0003000000142492354,1.215100646018982,0.7994247674942017,0.6379114389419556,1.0958032608032227,0.8318672180175781
4,0.6050185561180115,0.0003000000142492354,1.174621820449829,0.811887800693512,0.6484109163284302,1.0767351388931274,0.8422247171401978
5,0.6114792823791504,0.0003000000142492354,1.1634101867675781,0.8165145516395569,0.6513904929161072,1.0708683729171753,0.8452042937278748
6,0.6176483035087585,0.0003000000142492354,1.1487267017364502,0.822350025177002,0.6467083096504211,1.0726512670516968,0.8417990803718567
7,0.6216914653778076,0.0003000000142492354,1.1297274827957153,0.8273519277572632,0.6492621898651123,1.0636919736862183,0.8435016870498657
8,0.6206077337265015,0.0003000000142492354,1.1374911069869995,0.8251844644546509,0.6503973007202148,1.0657774209976196,0.8437854647636414
9,0.6262348294258118,0.0003000000142492354,1.1216018199920654,0.830894947052002,0.6594778895378113,1.056728720664978,0.8461974859237671
10,0.6287774443626404,0.0003000000142492354,1.1120336055755615,0.8364803194999695,0.6621736884117126,1.0549591779708862,0.8480420112609863
11,0.6321537494659424,0.0003000000142492354,1.1099697351455688,0.8329373598098755,0.6611804962158203,1.049293875694275,0.8476163744926453
12,0.633070707321167,0.0003000000142492354,1.1056556701660156,0.8352298736572266,0.6603291630744934,1.04764986038208,0.8503121733665466
13,0.6380309462547302,0.0003000000142492354,1.0946894884109497,0.8404818177223206,0.6687003374099731,1.0368525981903076,0.85173100233078
14,0.6421574950218201,0.0003000000142492354,1.0864216089248657,0.8424409031867981,0.6643019318580627,1.0406914949417114,0.8511634469032288
15,0.6426576375961304,0.0003000000142492354,1.0933054685592651,0.8416906595230103,0.6655789017677307,1.0329394340515137,0.8541430234909058
16,0.641698956489563,0.0003000000142492354,1.0880064964294434,0.8413571715354919,0.6687003374099731,1.033003568649292,0.85173100233078
17,0.6441165208816528,0.0003000000142492354,1.0838876962661743,0.8423575758934021,0.6721055507659912,1.0280201435089111,0.85173100233078
18,0.6469509601593018,0.0003000000142492354,1.0822831392288208,0.8475261330604553,0.6759364604949951,1.0215455293655396,0.8559874892234802
19,0.6443249583244324,0.0003000000142492354,1.0755945444107056,0.8451502919197083,0.6824631094932556,1.017410397529602,0.8591089844703674
